# cv cv_se msd msd_se
1.469911362135058353e+00 1.729910022380756838e-03 1.018999898909785182e-03 5.223736529231661722e-07
1.440487151490924322e+00 2.059451783734788342e-03 2.038255039459736795e-03 7.098738350834229297e-07
1.415025603163539536e+00 1.271414957108160096e-03 3.052044938162634669e-03 9.204717001479635887e-07
1.393263173066461968e+00 1.599533734131979154e-03 4.060009890420730044e-03 1.036425972368384287e-06
1.372463466422448874e+00 1.344204078305414338e-03 5.060941719310759618e-03 1.105827842276798565e-06
1.357835678842268745e+00 1.103201081706652346e-03 6.064540291193614568e-03 1.296896600724379798e-06
1.341978313805181289e+00 1.112619865881566772e-03 7.060787974764611702e-03 1.444671645523317565e-06
1.328021169082330477e+00 1.088325763773602319e-03 8.056240804741300610e-03 1.397871508469202017e-06
