#Thermo information
#TimeStep Temp PE KE
178 11.5942 -56.5608 1.07137
179 11.5773 -56.5558 1.06981
180 11.5579 -56.5506 1.06801
181 11.536 -56.5452 1.06599
182 11.5118 -56.5396 1.06375
183 11.4854 -56.5337 1.06131
184 11.4568 -56.5277 1.05867
185 11.4263 -56.5215 1.05585
186 11.394 -56.5152 1.05286
187 11.36 -56.5086 1.04972
188 11.3244 -56.502 1.04643
189 11.2875 -56.4952 1.04302
190 11.2493 -56.4883 1.03949
191 11.21 -56.4813 1.03586
192 11.1698 -56.4742 1.03214
193 11.1287 -56.4671 1.02835
194 11.0871 -56.4599 1.0245
195 11.045 -56.4527 1.02061
196 11.0026 -56.4454 1.01669
197 10.9601 -56.4382 1.01276
198 10.9176 -56.4309 1.00884
199 10.8753 -56.4237 1.00493
200 10.8333 -56.4165 1.00106
201 10.7919 -56.4094 0.997231
202 10.7513 -56.4023 0.993471
203 10.7114 -56.3953 0.989789
204 10.6726 -56.3884 0.986202
205 10.635 -56.3816 0.982724
206 10.5987 -56.375 0.979371
207 10.5639 -56.3685 0.976154
208 10.5307 -56.3621 0.973086
209 10.4992 -56.3559 0.970181
210 10.4697 -56.3498 0.96745
211 10.4421 -56.344 0.964905
212 10.4167 -56.3383 0.962558
213 10.3936 -56.3329 0.960419
214 10.3728 -56.3276 0.958499
215 10.3545 -56.3226 0.956806
216 10.3387 -56.3178 0.955349
217 10.3256 -56.3133 0.954137
218 10.3152 -56.309 0.953177
219 10.3076 -56.3049 0.952475
220 10.3029 -56.3011 0.952036
221 10.301 -56.2976 0.951867
222 10.3021 -56.2943 0.95197
223 10.3062 -56.2913 0.952349
224 10.3134 -56.2886 0.953007
225 10.3235 -56.2861 0.953946
226 10.3367 -56.2839 0.955165
227 10.3529 -56.282 0.956665
228 10.3722 -56.2803 0.958445
229 10.3945 -56.279 0.960503
230 10.4197 -56.2779 0.962836
231 10.4479 -56.277 0.965443
232 10.4791 -56.2764 0.96832
233 10.513 -56.2761 0.971458
234 10.5498 -56.276 0.974852
235 10.5892 -56.2762 0.978495
236 10.6312 -56.2766 0.982379
237 10.6758 -56.2772 0.986496
238 10.7228 -56.278 0.990837
239 10.772 -56.2791 0.995392
240 10.8235 -56.2803 1.00015
241 10.8771 -56.2818 1.0051
242 10.9326 -56.2834 1.01023
243 10.99 -56.2852 1.01554
