cov_part,var_part,cov_se,var_se
1.983376311757895e-14,7.902313323608272e-23,5.756776797099482e-14,8.38650831560557e-25
-0.2302367130563733,0.7596701881224774,0.004679573489764674,0.0013963302826878327
-0.20988082280008283,0.6505440325037394,0.004160264321256633,0.0011008395413934049
-0.21242216373639353,0.6981027104003448,0.0038384410549213554,0.000888722793645594
-0.26710657156197787,0.6528121583366046,0.005736684032044824,0.0011944963306654629
-0.22002830471211635,0.6493001210473035,0.003924314134421787,0.0008971898064318956
-0.20523161015030805,0.6717655756144829,0.0027051137216427324,0.0005667599907940723
-0.19472644491060734,0.6765810023176314,0.003997262218143265,0.0007947044841587602
-0.19410475493302873,0.6783125288661364,0.002643822063897358,0.0005843691131853197
-0.19623063595026763,0.6762735083801859,0.004427029975299636,0.0010337837169240344
-0.21345344920146458,0.6702043705016355,0.002647993057935734,0.0005423713444215765
-0.1921216417958946,0.6580338481273291,0.00274692592884763,0.0005597150141366838
-0.1829536521135,0.6352298343820014,0.0035830483534740614,0.0007136202423019182
-0.1917675380138943,0.6568393582529686,0.0024465329355504457,0.0005100305507512449
-0.20141350325648769,0.6378346442951823,0.002448716825607926,0.0004906710510591851
-0.20021695727518318,0.652535075312456,0.002477095702243868,0.0005094201589456827
-0.22103451134664606,0.6243730930106378,0.0034699405733002128,0.0006911124308295733
-0.1781030003743263,0.6409632819889367,0.0024547472873704024,0.00048629005186665014
-0.19244767319060457,0.652046974753375,0.0024407304060056105,0.0004770227745827281
-0.1876570033589816,0.6399137092900435,0.0024635149222966765,0.0004705758449776076
-0.17221017254805832,0.6374553008623807,0.003501538851748343,0.0006411875091737817
-0.1723857621336764,0.6264942949579567,0.0033880593559176045,0.0006505241498220352
-0.19682825611127666,0.644458144511589,0.004967140782781905,0.0009142234495447493
-0.17262252207323436,0.6320290918559643,0.003314411056154531,0.0006505746083130624
-0.16341822444083087,0.6218827355471693,0.004878293465882304,0.0007994434406923944
-0.19779467965936856,0.6340674486231962,0.0023056195582601313,0.0004443332120253249
-0.19267747036485902,0.6343443610174522,0.0023345264067980284,0.00044405614582563734
-0.18062185881397133,0.6273839568675292,0.002318835959849692,0.0004498447787196296
-0.1914611616153524,0.6127237568153241,0.0047227460477189545,0.0008246687315170911
-0.19946379424426774,0.6284146697521598,0.003393781391226777,0.0005847558862774748
-0.1992903628819802,0.6093140876727834,0.0038624736961456302,0.0007136903346101344
-0.1727538686508091,0.6249564728472528,0.0033298237924747004,0.0005907388143053035
-0.1850441078159866,0.6065206123555903,0.0021435636942644864,0.0004118060164709384
-0.18823694621262949,0.6209185806776384,0.003228634859728494,0.0005973719899291293
-0.17648024131514653,0.6178574860325502,0.0022565590464992385,0.00041825182233597527
-0.17426929006203734,0.6147529136479702,0.0031196625268617405,0.0005734242268484212
-0.18220479549905058,0.605182737792557,0.003132701390060991,0.0005750934974384774
-0.17583208867943925,0.5994925893831748,0.0021139668866554076,0.00040502367025885733
-0.1779402822433436,0.6093437233309079,0.002191237508692446,0.0003886327252855856
-0.16683482150088252,0.5985707584315885,0.002198647555332146,0.0003786585029546694
-0.15849198957880126,0.5954985114345145,0.004394705723900237,0.0007602729573449164
-0.16506895475638153,0.6048720165208114,0.0030134224157909186,0.0005365367141988708
-0.16709710872926814,0.6000826638842782,0.0020650149185248213,0.00037316780203978115
-0.16751611688895485,0.5999203885314116,0.0021217390534582006,0.0003796744005872518
-0.16703196923527405,0.5953209998290961,0.0020708015357152293,0.0003822401583401862
-0.1613613698895143,0.5998429179826811,0.0029831835594716816,0.0005558522797953737
-0.15869812457670668,0.5946211739008762,0.006091880564496102,0.0011308481295228454
-0.16903931186779278,0.588247968414117,0.005168837554237291,0.0009414099607972265
