0	54	7.518231287935621e-7
2	565	0.0
1	662	0.0
2	151	-6.734812831082934e-6
2	127	0.0
0	195	7.518231287935621e-7
2	571	0.0
0	585	4.093771183120853e-5
0	166	-6.734812831082934e-6
0	639	0.0
1	766	7.518231287935621e-7
0	698	0.0
0	230	-3.3501087084819835e-6
1	176	0.0
2	26	0.0
0	736	0.0
2	635	-7.225142082252109e-8
0	505	0.0
0	100	-8.367743964262946e-7
1	155	0.000951319947427945
2	285	0.0
0	468	0.0
1	329	0.0
1	472	0.0
2	320	0.0
2	262	0.0
2	521	0.0
0	705	0.0
0	752	0.0
2	208	0.0
1	340	7.518231287935621e-7
2	765	6.734812831082934e-6
0	324	0.0
2	223	0.0
0	343	0.0
0	421	0.0
1	306	0.0
0	755	0.0
0	336	-8.495445278911125e-7
1	378	0.0
1	178	0.0
1	387	0.0
0	408	0.0
1	363	0.0
2	71	0.0
0	399	0.0
2	540	0.0
0	196	3.367406415541467e-6
0	105	-3.51176219631286e-7
0	233	-6.734812831082934e-6
1	484	0.0
0	197	6.734812831082934e-6
0	339	7.518231287935621e-7
1	407	0.0
1	47	3.367406415541467e-6
1	362	0.0
2	550	0.0
1	745	0.0
1	744	0.0
2	82	0.0
1	261	0.0
2	474	0.0
0	757	0.0
1	760	7.518231287935621e-7
1	10	-0.0009103822355967364
1	533	0.0
0	666	7.518231287935621e-7
0	720	-8.495445278911125e-7
0	671	0.0
1	275	0.0
1	337	2.500564180590871e-6
0	125	0.0
2	212	0.0
2	269	0.0
0	130	0.0
2	322	0.0
0	574	0.0
1	702	0.0
2	412	0.0
0	305	0.0
2	496	0.0
0	123	0.0
0	580	3.367406415541467e-6
0	228	2.500564180590871e-6
0	597	1.0854042375417963e-5
2	634	-8.367743964262946e-7
2	61	0.0
0	68	0.0
0	608	8.367743964262946e-7
1	192	0.0
2	174	0.0
1	643	0.0
0	592	0.0
0	41	0.0
2	12	0.0
0	264	0.0
2	726	-3.367406415541467e-6
0	23	6.734812831082934e-6
1	440	0.0
0	669	0.0
0	715	0.0
1	406	0.0
2	217	0.0
2	368	0.0
1	21	6.734812831082934e-6
0	403	0.0
0	430	0.0
2	376	-6.734812831082934e-6
1	379	0.0
0	74	0.0
0	465	0.0
0	489	0.0
1	85	2.500564180590871e-6
1	259	0.0
1	624	0.0
1	487	0.0
1	102	0.0
1	114	0.0
2	603	0.0
1	600	0.0
2	620	-0.0009103822355967364
0	357	0.0
2	636	0.0
0	712	0.0
2	506	0.0
2	349	0.0
0	543	0.0
0	651	0.0
0	548	0.0
1	599	-3.367406415541467e-6
1	356	0.0
2	333	0.0
0	518	0.0
2	281	0.0
0	733	0.0
2	311	0.0
2	514	0.0
2	417	0.0
0	207	0.0
2	121	0.0
1	369	0.0
1	106	2.159146969647598e-6
1	432	0.0
0	86	0.0
1	515	0.0
1	746	0.0
1	231	-3.367406415541467e-6
1	52	2.159146969647598e-6
1	179	0.0
0	622	-6.734812831082934e-6
0	14	0.0
0	584	0.000951319947427945
0	370	0.0
0	601	0.0
0	16	8.367743964262946e-7
0	392	-8.367743964262946e-7
2	37	0.0
1	316	0.0
1	456	0.0
1	516	0.0
0	738	0.0
2	18	8.367743964262946e-7
1	573	0.0
1	658	0.0
2	304	0.0
0	157	-3.3501087084819835e-6
0	190	6.734812831082934e-6
2	348	0.0
0	582	-0.0009103822355967364
1	345	0.0
2	657	0.0
2	93	0.0
1	299	0.0
1	354	0.0
0	735	0.0
2	260	0.0
0	112	0.0
2	759	6.734812831082934e-6
0	115	0.0
1	572	0.0
1	588	0.0
0	251	0.0
1	604	0.0
0	73	0.0
2	537	0.0
0	673	0.0
2	88	0.0
1	458	0.0
2	494	0.0
1	90	-6.734812831082934e-6
2	162	0.0
1	313	0.0
0	649	0.0
1	717	0.0
2	711	0.0
2	118	0.0
1	301	0.0
0	236	-8.367743964262946e-7
1	547	0.0
1	194	0.0
1	252	0.0
2	372	0.0
1	579	3.367406415541467e-6
2	35	0.0
2	395	2.159146969647598e-6
2	249	0.0
1	728	6.734812831082934e-6
0	751	0.0
1	186	6.734812831082934e-6
1	243	0.0
1	72	0.0
0	241	0.0
1	50	0.0
1	258	0.0
0	553	0.0
1	34	0.0
1	133	0.0
2	92	7.518231287935621e-7
0	645	0.0
1	367	0.0
1	764	6.734812831082934e-6
0	451	0.0
1	78	0.0
2	409	0.0
0	469	0.0
0	499	0.0
2	504	0.0
0	534	0.0
1	650	0.0
0	466	0.0
2	587	-0.0009103822355967364
1	750	0.0
1	549	0.0
1	419	0.0
0	293	0.0
1	129	0.0
2	189	-6.734812831082934e-6
1	377	-6.734812831082934e-6
2	9	0.0
1	397	0.0
1	723	-3.367406415541467e-6
1	511	0.0
2	158	-8.495445278911125e-7
0	662	0.0
1	475	0.0
1	619	4.093771183120853e-5
1	57	0.0
2	398	0.0
2	351	0.0
0	766	6.734812831082934e-6
1	684	0.0
1	295	0.0
0	176	0.0
2	96	0.0
0	155	0.0
1	697	0.0
2	3	0.0
1	277	0.0
0	329	0.0
0	472	0.0
1	284	0.0
